"Country";"Language";"Reach";"Sentiment";"Key Phrases";"Keywords";"Twitter Authority";"Twitter Client";"Twitter Followers";"Twitter Following";"Alternate Date Format";"Time";"State";"City"
"Unknown";"Portuguese";314;"Positive";"próximos dias";"#UseAmarelo";5;"Twitter for Android";314;605;"Jul 26, 2020";3:24 PM;;
"Unknown";"Portuguese";314;"Neutral";;"#UseAmarelo";5;"Twitter for Android";314;605;"Jul 26, 2020";3:23 PM;;
"Unknown";"Portuguese";95;"Positive";"próximos dias";"#UseAmarelo";3;"Twitter for Android";95;18;"Jul 26, 2020";3:23 PM;;
"Unknown";"Portuguese";95;"Neutral";;"#UseAmarelo";3;"Twitter for Android";95;18;"Jul 26, 2020";3:21 PM;;
"Brazil";"Portuguese";3391;"Negative";"MATAR 30 MIL OPOSITORES,tipos de crimes possíveis";"#useamarelo";7;"Twitter Web App";3391;2937;"Jul 26, 2020";2:53 PM;"Rio Grande do Sul";"Caxias do Sul"
"Brazil";"Portuguese";338;"Negative";"MATAR 30 MIL OPOSITORES,tipos de crimes possíveis";"#useamarelo";5;"Twitter for Android";338;933;"Jul 26, 2020";1:51 PM;"Rio de Janeiro";"Rio de Janeiro"
"France";"Portuguese";475;"Neutral";"grave amnésia";"#UseAmarelo";5;"Twitter for iPhone";475;457;"Jul 26, 2020";12:47 PM;"Auvergne-Rhône-Alpes";"Aime"
"Unknown";"English";6;"Neutral";"support";"#UseAmarelo";1;"Twibbon";6;62;"Jul 26, 2020";11:55 AM;;
"Germany";"Spanish / Castilian";33;"Negative";;"#useamarelo";3;"Twitter Web App";33;264;"Jul 26, 2020";11:36 AM;"Saxony-Anhalt";"Röcken"
"Unknown";"Portuguese";196;"Neutral";"centenário de nascimento,trajetória do economista";"#UseAmarelo";4;"Twitter Web App";196;2439;"Jul 26, 2020";8:10 AM;;
"Brazil";"Portuguese";57;"Neutral";"curso gratuito,mega presente,povo brasileiro";"#useamarelo";3;"Twitter for iPhone";57;124;"Jul 26, 2020";3:13 AM;"Rondônia";"Porto Velho"
"Germany";"Portuguese";33;"Positive";;"#useamarelo";3;"Twitter Web App";33;264;"Jul 25, 2020";9:39 PM;"Saxony-Anhalt";"Röcken"
"Brazil";"Portuguese";22;"Neutral";;"#useamarelo";2;"Twitter for iPhone";22;44;"Jul 25, 2020";6:54 PM;"São Paulo";"Campinas"
"Unknown";"unknown";1317;"Not Rated";;"#UseAmarelo";6;"Twitter for Android";1317;1674;"Jul 25, 2020";1:54 PM;;
"Brazil";"Portuguese";4785;"Neutral";"charges do jornal";"#UseAmarelo";7;"Twitter for Android";4785;3255;"Jul 25, 2020";5:27 AM;"Paraná";"Curitiba"
"Unknown";"Portuguese";7;"Neutral";"charges do jornal";"#UseAmarelo";1;"Twitter for Android";7;150;"Jul 24, 2020";11:40 PM;;
"Unknown";"Portuguese";260;"Neutral";"charges do jornal,genios grafistas,papo de pintura rupestre";"#UseAmarelo";5;"Twitter for Android";260;141;"Jul 24, 2020";11:34 PM;;
"Brazil";"Portuguese";178;"Neutral";"charges do jornal";"#UseAmarelo";4;"Twitter Web App";178;1102;"Jul 24, 2020";11:32 PM;"São Paulo";"São Carlos"
"Brazil";"Portuguese";7529168;"Neutral";"charges do jornal";"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7529168;178218;"Jul 24, 2020";11:30 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";6334;"Negative";"patamar irrealista";"#UseAmarelo";7;"Twitter for iPhone";6334;5392;"Jul 24, 2020";10:13 PM;"Federal District";"Brasília"
"Brazil";"Portuguese";18;"Neutral";"charges do jornal";"#UseAmarelo";1;"Twitter for Android";18;118;"Jul 24, 2020";9:56 PM;"Federal District";"Brasília"
"Brazil";"Portuguese";2954;"Negative";"patamar irrealista";"#UseAmarelo";7;"Twitter for iPhone";2954;2105;"Jul 24, 2020";9:08 PM;"Federal District";"Brasília"
"Unknown";"Portuguese";1843;"Negative";;"#UseAmarelo";6;"Twitter for Android";1843;3653;"Jul 24, 2020";8:50 PM;;
"Unknown";"unknown";2227;"Not Rated";;"#useamarelo";7;"Twitter Web App";2227;648;"Jul 24, 2020";8:31 PM;;
"Unknown";"Portuguese";108;"Negative";"patamar irrealista";"#UseAmarelo";4;"Twitter for iPhone";108;95;"Jul 24, 2020";8:25 PM;;
"Unknown";"Portuguese";4;"Negative";"patamar irrealista";"#UseAmarelo";1;"Twitter for Android";4;135;"Jul 24, 2020";8:25 PM;;
"Brazil";"Portuguese";32;"Negative";"patamar irrealista";"#UseAmarelo";3;"Twitter for Android";32;70;"Jul 24, 2020";8:22 PM;"São Paulo";"Santos"
"Unknown";"Portuguese";12;"Negative";"patamar irrealista";"#UseAmarelo";2;"Twitter Web App";12;91;"Jul 24, 2020";8:09 PM;;
"Brazil";"Portuguese";174;"Negative";"patamar irrealista";"#UseAmarelo";4;"Twitter Web App";174;152;"Jul 24, 2020";8:07 PM;"Mato Grosso";
"Brazil";"Portuguese";2489;"Negative";"patamar irrealista";"#UseAmarelo";6;"Twitter Web App";2489;3101;"Jul 24, 2020";8:04 PM;"Mato Grosso";
"Brazil";"Portuguese";1199;"Negative";"patamar irrealista";"#UseAmarelo";6;"Twitter for Android";1199;254;"Jul 24, 2020";7:58 PM;"Mato Grosso";
"Brazil";"Portuguese";372;"Negative";"situação absurda";"#UseAmarelo";5;"Twitter for Android";372;367;"Jul 24, 2020";7:55 PM;"São Paulo";"São Paulo"
"Unknown";"Portuguese";1;"Negative";"patamar irrealista";"#UseAmarelo";1;"Twitter Web App";1;62;"Jul 24, 2020";7:50 PM;;
"Unknown";"Portuguese";410;"Negative";"patamar irrealista";"#UseAmarelo";5;"Twitter Web App";410;422;"Jul 24, 2020";7:49 PM;;
"Brazil";"Portuguese";7335;"Negative";"patamar irrealista";"#UseAmarelo";7;"Twitter Web App";7335;7743;"Jul 24, 2020";7:42 PM;"Rio Grande do Norte";"Natal"
"United Kingdom";"Portuguese";77;"Positive";"patamar irrealista";"#UseAmarelo";4;"Bot Cotidiano";77;;"Jul 24, 2020";7:40 PM;"England";"Street"
"Brazil";"Portuguese";7529082;"Negative";"patamar irrealista";"#UseAmarelo";10;"mLabs - Gestão de Redes Sociais";7529082;178220;"Jul 24, 2020";7:40 PM;"São Paulo";"São Paulo"
"Brazil";"Portuguese";378;"Neutral";;"#useamarelo";5;"Twitter Web App";378;2052;"Jul 24, 2020";11:49 AM;"São Paulo";
"Unknown";"Portuguese";305;"Neutral";;"#useamarelo";5;"Twitter for iPhone";305;1070;"Jul 24, 2020";10:39 AM;;
"Brazil";"Portuguese";411;"Neutral";;"#useamarelo";5;"Twitter for Android";411;1547;"Jul 24, 2020";9:28 AM;"Pernambuco";"Recife"
"Brazil";"Portuguese";631;"Neutral";;"#useamarelo";5;"Twitter for Android";631;660;"Jul 24, 2020";9:17 AM;"Mato Grosso";
"Unknown";"Portuguese";35;"Neutral";;"#useamarelo";3;"Twitter for iPhone";35;31;"Jul 24, 2020";8:07 AM;;
"Brazil";"Portuguese";725;"Neutral";;"#useamarelo";5;"Twitter for Android";725;1558;"Jul 24, 2020";7:50 AM;"Minas Gerais";"Belo Horizonte"
"Brazil";"Portuguese";4817;"Neutral";;"#useamarelo";7;"Twitter Web App";4817;4850;"Jul 24, 2020";7:22 AM;"Mato Grosso";
"Brazil";"Portuguese";33;"Neutral";;"#useamarelo";3;"Twitter for Android";33;70;"Jul 24, 2020";7:13 AM;"São Paulo";"Santos"
"Unknown";"Portuguese";28152;"Neutral";;"#useamarelo";8;"Twitter Web App";28152;25070;"Jul 24, 2020";6:57 AM;;
